ID,Airport,City,Country
9983,California Ave. Station,Palo Alto,United States
9984,San Antonio Station,Mountain View,United States
9985,Oakville Station,Oakville,Canada
9986,Aldershot Station,Burlington,Canada
9987,Grimsby Station,Grimsby,Canada
9988,St. Catharines Station,St. Catharines,Canada
9989,Brantford Railway Station,Brantford,Canada
9990,Woodstock Railway Station,Woodstock,Canada
9991,Ingersoll Station,Ingersoll,Canada
9992,Glencoe Railway Station,Glencoe,Canada
9993,Chatham Railway Station,Chatham,Canada
9994,Niagara Falls - Hwy 420 at Stanley,Niagara Falls,Canada
9995,St. Catharines Fairview Mall,St. Catharines,Canada
9996,Grimsby GO Bus Stop,Grimsby,Canada
9997,Stoney Creek GO Bus Stop,Stoney Creek,Canada
9998,Appleby GO Station,Burlington,Canada
9999,Bronte GO Station,Oakville,Canada
10000,Clarkson GO Station,Mississauga,Canada
10001,Port Credit GO Station,Mississauga,Canada
10002,Long Branch GO Station,Toronto,Canada
10003,Mimco GO Station,Toronto,Canada
10004,Exhibition GO Station,Toronto,Canada
10005,Stouffville GO Station,Stouffville,Canada
10006,Mount Joy GO Station,Markham,Canada
10007,Markham GO Station,Markham,Canada
10008,Centennial GO Station,Markham,Canada
10009,Unionville GO Station,Markham,Canada
10010,Millikin GO Station,Toronto,Canada
10011,Agincourt GO Station,Toronto,Canada
10012,Kennedy GO Station,Toronto,Canada
10013,Yorkdale Bus Terminal,Toronto,Canada
10014,Keele and Highway 401,Toronto,Canada
10015,Dixon and Martin Grove,Toronto,Canada
10016,Huggins Memorial,Timmonsville,United States
10017,El Monte Airport,El Monte,United States
10018,Regina,Regina,French Guiana
10019,Croisee d Apatou,Apatou,French Guiana
10020,SMSE,Saint Elie,French Guiana
10021,Carrirere Prevot,Remire,French Guiana
10022,Reid Hillview,San Jose,United States
10023,Hollister,Hollister,United States
10024,King City,King City,United States
10025,Placerville,Placerville,United States
10026,Blue Canyon,Blue Canyon,United States
10027,Lee Vining,Lee Vining,United States
10028,Jackpot,Jackpot,United States
10029,Arco,Arco,United States
10030,Bountiful,Bountiful,United States
10031,Battle Mountain,Battle Mountain,United States
10032,Bishop,Bishop,United States
10033,Needle,Needle,United States
10034,Agua Dulce,Agua Dulce,United States
10035,Tonopah,Tonopah,United States
10036,Mount Laurel Greyhound Station,Mount Laurel,United States
10037,Wyandanch Station,Wyandanch,United States
10038,Pinelawn Station,Melville,United States
10039,Farmingdale Station,Farmingdale,United States
10040,Bethpage Station,Bethpage,United States
10041,Hicksville Station,Hicksville,United States
10042,Jamaica Station,New York,United States
10043,Woodside Station,New York,United States
10044,Kiama Train Station,Kiama,Australia
10045,Katoomba Train Station,Katoomba,Australia
10046,Terminal Bersepadu Selatan,Kuala Lumpur,Malaysia
10047,Melaka Sentral,Malacca,Malaysia
10048,Chelsea Station,Chelsea,United States
10049,Central Square - Lynn Station,Lynn,United States
10050,Swampscott Railroad Depot,Swampscott,United States
10051,Beverly Depot,Beverly,United States
10052,Montserrat Station,Beverly,United States
10053,Beverly Farms Station,Beverly,United States
10054,Manchester by the Sea Station,Manchester by the Sea,United States
10055,West Gloucester Station,Gloucester,United States
10056,Gloucester Station,Gloucester,United States
10057,Farah Airport,Farah,Afghanistan
10058,Gare d'autocars de Sainte-Foy,Sainte-Foy,Canada
10059,Terminus Intermodal de Longueuil,Longueuil,Canada
10060,DWG,Caspian Sea,Azerbaijan
10061,Pasighat Airport,Pasighat,India
10062,Kee Field,Pineville,United States
10063,Fordham Station,New York,United States
10064,Greenwich Station,Greenwich,United States
10065,Tsigaro Airport,Tsigaro,Botswana
10066,Kuramathi,Kuramathi,Maldives
10067,New Haven State Street Station,New Haven,United States
10068,Albany-Rennselaer Amtrak Station,Rennselaer,United States
10069,Kramatorsk Airport,Kramatorsk,Ukraine
10070,Port Jefferson Station,Port Jefferson,United States
10071,Stony Brook Station,Stony Brook,United States
10072,St. James Station,St. James,United States
10073,Smithtown Station,Smithtown,United States
10074,Kings Park Station,Kings Park,United States
10075,Northport Station,East Northport,United States
10076,Greenlawn Station,Greenlawn,United States
10077,Huntington NY Station,Huntington,United States
10078,Sigernessjoen,Sigernessjoen,Norway
10079,Setten,Setten,Norway
10080,Kautokeino Air Base,Kautokeino,Norway
10081,Cold Spring Harbor Station,Cold Spring Harbor,United States
10082,Syosset Station,Syosset,United States
10083,Westbury Station,Westbury,United States
10084,Carle Place Station,Carle Place,United States
