Country,Region,Population,Pop_density,GDP_per_capita,Literacy_rate
Germany ,WESTERN EUROPE                     ,82422299,230.9,27600.0,99.0
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,93.6,2200.0,74.8
Greece ,WESTERN EUROPE                     ,10688058,81.0,20000.0,97.5
Grenada ,LATIN AMER. & CARIB    ,89703,260.8,5000.0,98.0
Guadeloupe ,LATIN AMER. & CARIB    ,452776,254.4,8000.0,90.0
Guam ,OCEANIA                            ,171019,316.1,21000.0,99.0
Guatemala ,LATIN AMER. & CARIB    ,12293545,112.9,4100.0,70.6
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,39.4,2100.0,35.9
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,39.9,800.0,42.4
Guyana ,LATIN AMER. & CARIB    ,767245,3.6,4000.0,98.8
Haiti ,LATIN AMER. & CARIB    ,8308504,299.4,1600.0,52.9
Honduras ,LATIN AMER. & CARIB    ,7326496,65.4,2600.0,76.2
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,6355.7,28800.0,93.5
Hungary ,EASTERN EUROPE                     ,9981334,107.3,13900.0,99.4
Iceland ,WESTERN EUROPE                     ,299388,2.9,30900.0,99.9
India ,ASIA (EX. NEAR EAST)         ,1095351995,333.2,2900.0,59.5
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,127.9,3200.0,87.9
Iran ,ASIA (EX. NEAR EAST)         ,68688433,41.7,7000.0,79.4
Iraq ,NEAR EAST                          ,26783383,61.3,1500.0,40.4
Ireland ,WESTERN EUROPE                     ,4062235,57.8,29600.0,98.0
Israel ,NEAR EAST                          ,6352117,305.8,19800.0,95.4
Italy ,WESTERN EUROPE                     ,58133509,193.0,26700.0,98.6
Jamaica ,LATIN AMER. & CARIB    ,2758124,250.9,3900.0,87.9
Japan ,ASIA (EX. NEAR EAST)         ,127463611,337.4,28200.0,99.0
Jordan ,NEAR EAST                          ,5906760,64.0,4300.0,91.3
Kazakhstan ,C.W. OF IND. STATES ,15233244,5.6,6300.0,98.4
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,59.6,1000.0,85.1
Korea North ,ASIA (EX. NEAR EAST)         ,23113019,191.8,1300.0,99.0
Korea South ,ASIA (EX. NEAR EAST)         ,48846823,496.0,17800.0,97.9
Kuwait ,NEAR EAST                          ,2418393,135.7,19000.0,83.5
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,26.3,1600.0,97.0
Laos ,ASIA (EX. NEAR EAST)         ,6368481,26.9,1700.0,66.4
Latvia ,BALTICS                            ,2274735,35.2,10200.0,99.8
Lebanon ,NEAR EAST                          ,3874050,372.5,4800.0,87.4
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,66.6,3000.0,84.8
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,27.3,1000.0,57.5
Libya ,NORTHERN AFRICA                    ,5900754,3.4,6400.0,82.6
Liechtenstein ,WESTERN EUROPE                     ,33987,212.4,25000.0,100.0
Lithuania ,BALTICS                            ,3585906,55.0,11400.0,99.6
Luxembourg ,WESTERN EUROPE                     ,474413,183.5,55100.0,100.0
Macau ,ASIA (EX. NEAR EAST)         ,453125,16183.0,19400.0,94.5
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,31.7,800.0,68.9
