AirlineID,Name,Country,Active
2723,Helicopter,CzechRepublic,N
2724,Helicopter & Aviation Services,UnitedKingdom,N
2725,Helicopter Training & Hire,UnitedKingdom,N
2726,Helicopteros Aero Personal,Mexico,N
2727,Helicopteros Agroforestal,Chile,N
2728,Helicopteros Internacionales,Mexico,N
2729,Helicopteros Y Vehiculos Nacionales Aereos,Mexico,N
2730,Helicsa,Spain,N
2731,Helijet,Canada,Y
2732,Helikopterdrift,Norway,N
2733,Helikopterservice Euro Air,Sweden,N
2734,Heliocean,France,N
2735,Helios Airways,Cyprus,N
2736,Helipistas,Spain,N
2737,Heliportugal,Portugal,N
2738,Heliservicio Campeche,Mexico,N
2739,Helisul,Portugal,N
2740,Heliswiss,Switzerland,N
2741,Helitafe,Mexico,N
2742,Helitalia,Italy,N
2743,Helitaxi Ofavi,Mexico,N
2744,Helitrans,Norway,N
2745,Helitrans Air Service,UnitedStates,N
2746,Heliworks,Chile,N
2747,Hellas Jet,Greece,Y
2748,Hello,Switzerland,Y
2749,Helog,Switzerland,N
2750,Helvetic Airways,Switzerland,Y
2751,Hemus Air,Bulgaria,N
2752,Henebury Aviation,Australia,N
2753,Heritiage Flight (Valley Air Services),UnitedStates,N
2754,Herman's Markair Express,UnitedStates,N
2755,Herritage Aviation Developments,UnitedKingdom,N
2756,Hewa Bora Airways,DemocraticRepublicoftheCongo,N
2757,Hex'Air,France,Y
2758,Hi-Jet Helicopter Services,Suriname,N
2759,Hi Fly,Portugal,N
2760,High-Line Airways,Canada,N
2761,Highland Airways,UnitedKingdom,Y
2762,Hispaniola Airways,DominicanRepublic,N
2763,Hogan Air,UnitedStates,N
2764,Hokkaido Air System,Japan,N
2765,Hokkaido International Airlines,Japan,Y
2766,Hokuriki-Koukuu Company,Japan,N
2767,Hola Airlines,Spain,N
2768,Holding International Group,Mexico,N
2769,Holiday Airlines,UnitedStates,N
